Estado;"""(""";""")""";""":""";""";""";"""[""";"""]""";"""break""";"""else""";"""endIf""";"""endWhile""";"""if""";"""intConst""";"""print""";"""return""";"""variable""";"""while""";"""{""";"""}""";AritmExp;Command;LogicalExp
->0;[];[];[];[];[];[];[36];[];[];[];[18];[];[16];[33];[7];[27];[1];[];[];[];[]
1;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[2];[]
10;[];[];[];[];[];[11];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
11;[];[];[12];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
12;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[15];[];[14]
*13;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
*14;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
*15;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
16;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[17];[];[]
*17;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
18;[19];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
19;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[20]
2;[];[];[];[4];[];[];[];[];[];[];[];[];[];[];[];[];[];[6];[];[];[]
20;[];[21];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
21;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[22];[]
22;[];[];[];[];[];[];[];[24];[26];[];[];[];[];[];[];[];[];[];[];[];[]
23;[];[];[];[];[];[];[];[];[26];[];[];[];[];[];[];[];[];[];[];[];[]
24;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[25];[]
25;[];[];[];[];[];[];[];[];[26];[];[];[];[];[];[];[];[];[];[];[];[]
*26;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
27;[28];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
28;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[29]
29;[];[30];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
3;[];[];[];[4];[];[];[];[];[];[];[];[];[];[];[];[];[];[6];[];[];[]
30;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[31];[]
31;[];[];[];[];[];[];[];[];[];[32];[];[];[];[];[];[];[];[];[];[];[]
*32;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
*33;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[35];[];[]
*34;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
*35;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
*36;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
4;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[5];[]
5;[];[];[];[4];[];[];[];[];[];[];[];[];[];[];[];[];[];[6];[];[];[]
*6;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
7;[];[];[12];[];[9];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
8;[];[];[12];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
9;[];[];[];[];[];[];[];[];[];[];[];[10];[];[];[];[];[];[];[];[];[]
